functionName,scalingFactor,engine,downloadTime,executionTime,totalTime,queryID,sf_executionTime,sf_compilationTime
filter,SF1,modin,0.577684164047241,0.211340427398682,0.789024591445923,None,None,None
filter,SF10,modin,4.04379916191101,1.53511190414429,5.5789110660553,None,None,None
groupby,SF1,modin,0.538707494735718,0.434698820114136,0.973406314849854,None,None,None
groupby,SF10,modin,22.2922768592834,3.70906114578247,26.0013380050659,None,None,None
join,SF1,modin,1.17404270172119,15.5657222270966,16.7397649288177,None,None,None
join,SF10,modin,36.6742906570435,347.422359466553,384.096650123596,None,None,None
selection,SF1,modin,3.2908399105072,0.259275674819946,3.55011558532715,None,None,None
selection,SF10,modin,10.2914175987244,0.682254314422607,10.973671913147,None,None,None
sort,SF1,modin,0.547447919845581,2.60506701469421,3.15251493453979,None,None,None
sort,SF10,modin,4.1464855670929,22.3678591251373,26.5143446922302,None,None,None
filter,SF1,modin,0.57248854637146,0.218558311462402,0.791046857833862,None,None,None
filter,SF10,modin,4.05498290061951,1.73186421394348,5.78684711456299,None,None,None
groupby,SF1,modin,0.536584138870239,0.449206590652466,0.985790729522705,None,None,None
groupby,SF10,modin,4.60426497459412,3.66162776947021,8.26589274406433,None,None,None
join,SF1,modin,1.19945478439331,15.9048268795013,17.1042816638947,None,None,None
join,SF10,modin,5.51125121116638,376.813232421875,382.324483633041,None,None,None
selection,SF1,modin,3.38127398490906,0.256981134414673,3.63825511932373,None,None,None
selection,SF10,modin,10.6066031455994,0.676945209503174,11.2835483551025,None,None,None
sort,SF1,modin,0.545866250991821,2.65104246139526,3.19690871238708,None,None,None
sort,SF10,modin,4.34303045272827,24.7834255695343,29.1264560222626,None,None,None
selection,SF1,modin,11.1200561523438,0.164293766021729,11.2843499183655,None,None,None
filter,SF1,modin,8.50435185432434,0.246355772018433,8.75070762634277,None,None,None
sort,SF1,modin,8.44913649559021,2.23090744018555,10.6800439357758,None,None,None
groupby,SF1,modin,11.3247902393341,0.504893064498901,11.829683303833,None,None,None
join,SF1,modin,10.8894939422607,49.6047260761261,60.4942200183868,None,None,None
filter,SF1,pandas,0.803705930709839,0.258440971374512,1.06214690208435,None,None,None
filter,SF10,pandas,11.453076839447,2.84165716171265,14.2947340011597,None,None,None
groupby,SF1,pandas,0.905791521072388,0.586026668548584,1.49181818962097,None,None,None
groupby,SF10,pandas,12.1541194915771,7.13298487663269,19.2871043682098,None,None,None
join,SF1,pandas,1.34650182723999,53.8092355728149,55.1557374000549,None,None,None
join,SF10,pandas,13.103461265564,710.18714928627,723.290610551834,None,None,None
selection,SF1,pandas,1.03247547149658,0.0855174064636231,1.11799287796021,None,None,None
selection,SF10,pandas,11.8700053691864,0.953400850296021,12.8234062194824,None,None,None
sort,SF1,pandas,0.782087802886963,5.83733224868774,6.61942005157471,None,None,None
sort,SF10,pandas,11.1068105697632,62.2053027153015,73.3121132850647,None,None,None
filter,SF1,pandas,0.795865774154663,0.267245531082153,1.06311130523682,None,None,None
filter,SF1,pandas,0.835716009140015,0.260724544525146,1.09644055366516,None,None,None
filter,SF1,pandas,0.741472721099854,0.255395650863647,0.996868371963501,None,None,None
filter,SF10,pandas,11.3812367916107,2.71473479270935,14.0959715843201,None,None,None
groupby,SF1,pandas,0.880286455154419,0.585285663604736,1.46557211875916,None,None,None
groupby,SF1,pandas,0.861855983734131,0.58441686630249,1.44627285003662,None,None,None
groupby,SF10,pandas,11.9816908836365,6.81707262992859,18.7987635135651,None,None,None
join,SF1,pandas,1.44614458084106,53.6285717487335,55.0747163295746,None,None,None
join,SF1,pandas,1.45057535171509,53.6996200084686,55.1501953601837,None,None,None
join,SF10,pandas,13.19255900383,715.178782463074,728.371341466904,None,None,None
selection,SF1,pandas,1.42469215393066,0.0906689167022705,1.51536107063293,None,None,None
selection,SF1,pandas,1.03998875617981,0.0857241153717041,1.12571287155151,None,None,None
selection,SF1,pandas,0.86534857749939,0.0850419998168945,0.950390577316284,None,None,None
selection,SF10,pandas,13.4643929004669,0.958840608596802,14.4232335090637,None,None,None
sort,SF1,pandas,0.792263269424439,5.83513927459717,6.62740254402161,None,None,None
sort,SF1,pandas,0.75323486328125,5.81820154190064,6.57143640518189,None,None,None
sort,SF10,pandas,10.9854230880737,61.6463890075684,72.6318120956421,None,None,None
selection,SF1,pandas,17.1360478401184,0.0725376605987549,17.2085855007172,None,None,None
filter,SF1,pandas,13.8717889785767,0.242316007614136,14.1141049861908,None,None,None
sort,SF1,pandas,13.9214196205139,5.50146651268005,19.422886133194,None,None,None
groupby,SF1,pandas,13.8606085777283,0.473078966140747,14.333687543869,None,None,None
join,SF1,pandas,14.6525814533234,54.2341389656067,68.8867204189301,None,None,None
selection,SF10,pandas,271.558012485504,0.928024053573608,272.486036539078,None,None,None
filter,SF10,pandas,250.333722114563,2.58035778999329,252.914079904556,None,None,None
sort,SF10,pandas,218.668247699738,62.7728645801544,281.441112279892,None,None,None
groupby,SF10,pandas,200.94548368454,6.87119674682617,207.816680431366,None,None,None
filter,SF1,snowpandas,0.162712574005127,3.69815349578857,3.8608660697937,01b421f8-0302-a847-0002-ab2e000a1a6a,1482,259
filter,SF10,snowpandas,0.254960536956787,20.9755425453186,21.2305030822754,01b4220f-0302-a849-0002-ab2e000a3abe,3527,285
groupby,SF1,snowpandas,0.247736930847168,0.943965911865234,1.1917028427124,01b421f8-0302-a848-0002-ab2e000a0a96,467,212
groupby,SF10,snowpandas,0.257534742355347,2.80097961425781,3.05851435661316,01b42210-0302-a849-0002-ab2e000a3ac6,1188,256
join,SF1,snowpandas,0.926962852478027,41.8746101856232,42.8015730381012,01b421f8-0302-a848-0002-ab2e000a0ab2,12054,691
join,SF10,snowpandas,0.87096118927002,362.412913322449,363.283874511719,01b42210-0302-a849-0002-ab2e000a3ae2,35130,372
selection,SF1,snowpandas,0.622616291046143,2.61644864082336,3.23906493186951,01b421f8-0302-a845-0002-ab2e000a494a,860,379
selection,SF10,snowpandas,0.320038557052612,11.0380427837372,11.3580813407898,01b4220f-0302-a848-0002-ab2e000a0abe,1838,280
sort,SF1,snowpandas,0.193837404251099,6.90170574188232,7.09554314613342,01b421f8-0302-a849-0002-ab2e000a3a8e,2341,290
sort,SF10,snowpandas,0.279220342636108,43.9765372276306,44.2557575702667,01b4220f-0302-a845-0002-ab2e000a4992,9510,239
filter,SF1,snowpandas,0.214996814727783,3.80218529701233,4.01718211174011,01b4218e-0302-a849-0002-ab2e000a39f6,1572,212
filter,SF10,snowpandas,0.198590993881226,23.5628321170807,23.7614231109619,01b421a5-0302-a835-0002-ab2e0009fb1a,7363,295
